sample_name,tsp_length,tsp_GC_per,tsp_GC_skew,rib_length,rib_GC_per,rib_GC_skew,tsp_GC3s,rib_GC3s,tsp_cost_per_aa,rib_cost_per_aa,tsp_ENc,rib_ENc,ENc_diff,rib_GC3s_skew,tsp_GC3s_skew,fungi_gs,fungi_gc_genome
ALS1,467.896686345458,51.1656903446963,-0.059603409,444.332684824903,53.3475794422828,0.0675291828793774,0.6109663,0.6350969,23.73052,23.4121,51.9449752168525,52.6313722627737,-0.013213926,-0.02327794,-0.02471021,55.570087471911,50.1428388488513
ALS10,538.739673487564,48.1344368630099,-0.090280545,463.387822183028,51.2493694632621,-0.240917946,0.5813702,0.6121735,24.28341,23.74143,52.0424802702508,52.2698567760571,-0.004369056,-0.029302746,-0.02251362,53.706012731497,49.9358368536031
ALS2,490.468349056604,50.4005471698113,-0.24872217,462.690582959641,52.9281811659193,-0.041002691,0.6040506,0.6293054,23.86054,23.47637,52.253120898834,52.7118198133525,-0.008778402,-0.022439194,-0.02387547,51.451080664667,49.6519225839395
ALS3,392.004911770056,55.9826723667455,0.183307258504639,387.526509572901,56.5622680412371,-0.123178694,0.6543791,0.6598687,22.94065,22.89072,55.4412085911904,55.6954136999754,-0.004585129,-0.023496031,-0.02146831,55.5790983479817,49.2528110352712
ALS4,378.258570970843,56.3940660044857,0.0146512869806686,375.689807510256,56.9456579362575,-0.218884506,0.6569323,0.6622622,22.87033,22.82401,55.3200887036443,55.4978844332176,-0.003213945,-0.016866937,-0.01847715,54.5052755719444,49.8086807748486
ALS5,389.050816553036,54.6083304265102,0.617288726811479,390.812630229203,55.702421862478,-0.158744991,0.6425518,0.6534422,23.14292,23.00276,54.8703903213011,55.2569937469937,-0.007045757,-0.020766558,-0.01692556,52.332540019636,49.0243664206286
ALS6,419.10555966014,52.9927041004802,-0.047589583,419.417437478589,54.9270298047276,-0.061449126,0.6264683,0.6447312,23.44802,23.15694,53.1520125728021,54.221405553651,-0.02011952,-0.020257024,-0.02445866,48.8079885052667,49.9134200788441
ALS7,436.675858401702,52.492646611972,0.155409450015193,438.393696930111,54.3667455911169,0.06458360548661,0.6219758,0.6395942,23.52133,23.24154,53.214132137155,54.4397908154927,-0.023032579,-0.021094128,-0.02497244,49.1948832242186,49.5439086007093
ALS8,468.549347772582,53.7160349495447,-0.014865863,469.209750566893,55.2984278155707,-0.264270597,0.633467,0.6475211,23.39981,23.13644,54.7961468341956,55.8747788279773,-0.01968445,-0.021358992,-0.02333771,47.2209239818004,51.0940921088419
ALS9,454.595189100972,51.5365706379053,-0.110567658,447.007476635514,53.5085911214953,-0.079077103,0.6148314,0.6347378,23.66581,23.38675,52.1633262305561,53.1253180542563,-0.018441919,-0.023989966,-0.02492819,48.2660980365189,50.8334959048504
BDGS1,425.624731580896,53.4460007404665,0.370189559422436,433.586989640463,54.8990295551493,-0.019055454,0.6317635,0.6450321,23.32358,23.11488,53.8251148318269,54.8598521566834,-0.019224062,-0.019309199,-0.01920188,60.9924424947233,50.1920437287053
BDGS2,416.601554907677,54.0263848396501,0.211979856877816,419.828398384926,55.2628213324361,-0.020508075,0.6380781,0.6499091,23.25074,23.10814,54.633223125884,55.310476270616,-0.012396361,-0.019059471,-0.02086389,50.036067592361,48.7321171932736
BDGS3,399.807415485278,55.2638996728462,0.309266085059978,404.339701948796,56.0071857088269,-0.030695453,0.6491573,0.6571606,23.03189,22.97988,55.0072257994107,55.338854465481,-0.00602882,-0.018771568,-0.01911768,48.5322379597432,50.764125357511
BDGS4,404.718045862413,54.4328953140578,0.465046859421735,404.600416233091,55.5200693721818,0.0927089836975373,0.6386003,0.6506422,23.1329,22.97622,54.7905884699781,55.2619611246095,-0.008603168,-0.017214509,-0.01945748,55.4732316111262,49.1255865957153
